City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Ilulissat,GL,69.2167,-51.1,26.62,63,20,1.14,few clouds
200,Belaya Gora,RU,68.5333,146.4167,17.69,92,98,10.89,overcast clouds
201,Jizan,SA,17.3333,42.6667,90.54,65,67,2.3,broken clouds
202,Menomonie,US,44.8755,-91.9193,73.27,73,0,3.44,clear sky
203,Naliya,IN,23.2667,68.8333,80.06,72,31,10.27,scattered clouds
204,Tommot,RU,58.9564,126.2925,28.29,95,100,10.27,light snow
205,Wanning,CN,18.8003,110.3967,79.16,86,55,6.69,broken clouds
206,Sibolga,ID,1.7427,98.7792,74.84,87,100,2.37,light rain
207,Vercelli,IT,45.3231,8.4153,66.69,69,73,2.91,broken clouds
208,Gaoua,BF,10.2992,-3.2508,77.36,81,57,4.99,light rain
209,Jaca,ES,42.569,-0.5499,61.99,75,21,2.89,few clouds
210,Pak Phanang,TH,8.3511,100.202,79.68,81,100,4.21,light rain
211,Puerto Escondido,MX,15.85,-97.0667,86.83,58,20,6.91,few clouds
212,Bandarbeyla,SO,9.4942,50.8122,77.41,83,68,20.45,broken clouds
213,Pokrovsk,UA,48.282,37.1758,46.09,75,59,5.88,broken clouds
214,Mehamn,NO,71.0357,27.8492,42.71,82,100,14.74,overcast clouds
215,Touros,BR,-5.1989,-35.4608,78.03,84,0,13.62,clear sky
216,Izhma,RU,65.0083,53.9113,44.15,89,100,6.38,overcast clouds
217,Peniche,PT,39.3558,-9.3811,65.08,92,0,14.12,clear sky
218,Gorin,RU,51.1983,136.6669,31.14,60,5,8.95,clear sky
219,Nouadhibou,MR,20.931,-17.0347,91.38,33,23,10.36,sand
220,Erzin,TR,36.9559,36.2,69.76,81,32,1.77,scattered clouds
221,Rincon,US,32.296,-81.2354,80.56,37,20,10.36,few clouds
222,Pevek,RU,69.7008,170.3133,29.34,84,100,8.7,light snow
223,Salinopolis,BR,-0.6136,-47.3561,80.83,78,5,14.67,clear sky
224,Deer Lake,CA,49.1667,-57.4316,60.66,44,20,9.22,few clouds
225,Laguna,US,38.421,-121.4238,91.63,42,0,5.75,clear sky
226,Kenai,US,60.5544,-151.2583,53.02,78,100,21.85,light rain
227,Puerto Colombia,CO,10.9878,-74.9547,84.29,69,48,4.9,scattered clouds
228,Lata,PT,40.1629,-8.3327,64.92,86,1,1.79,clear sky
229,Magistralnyy,RU,56.1725,107.4458,25.05,81,67,3.6,broken clouds
230,Obera,AR,-27.4871,-55.1199,76.93,67,43,5.12,light rain
231,Lakatoro,VU,-16.0999,167.4164,80.1,76,53,13.94,broken clouds
232,Byron Bay,AU,-28.65,153.6167,59.94,84,100,2.3,overcast clouds
233,Don Sak,TH,9.3168,99.6918,81.14,83,100,7.11,light rain
234,Shetpe,KZ,44.1667,52.1167,63.86,12,42,16.24,scattered clouds
235,Mar Del Plata,AR,-38.0023,-57.5575,60.82,87,100,11.5,overcast clouds
236,Avarua,CK,-21.2078,-159.775,77.05,69,40,18.41,scattered clouds
237,Cape Coast,GH,5.1053,-1.2466,76.5,91,41,9.93,scattered clouds
238,Manado,ID,1.487,124.8455,77.77,94,40,2.3,scattered clouds
239,Menongue,AO,-14.6585,17.691,69.64,21,67,4.99,broken clouds
240,Coquimbo,CL,-29.9533,-71.3436,64.13,59,20,12.66,few clouds
241,Flinders,AU,-34.5833,150.8552,58.37,93,100,3.0,light rain
242,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,88,0,13.8,clear sky
243,Ukiah,US,39.1502,-123.2078,91.44,37,0,5.75,clear sky
244,Marsa Matruh,EG,31.3525,27.2453,73.6,56,0,11.5,clear sky
245,Mirnyy,RU,62.5353,113.9611,32.23,74,97,8.99,overcast clouds
246,Mosquera,CO,4.7059,-74.2302,55.49,94,75,6.91,broken clouds
247,Codrington,AU,-38.2667,141.9667,55.6,93,98,10.98,overcast clouds
248,Batagay-Alyta,RU,67.8006,130.4114,17.47,95,100,3.91,light snow
249,Okhotsk,RU,59.3833,143.3,29.05,56,100,9.62,overcast clouds
